# OpenNGC selected deep-sky subset (Messier, named, bright, or large objects)
# display_name catalog_id ra_hours dec_degrees magnitude type constellation major_axis_arcmin minor_axis_arcmin position_angle_deg redshift messier
NGC 821	NGC 821	2.139206	10.994917	10.77	G	Ari	2.45	2.1	26	0.005814
h Persei Cluster	NGC 869	2.316267	57.11725	3.7	OCl	Per	14.4			-0.00013
chi Persei Cluster	NGC 884	2.375583	57.144111	3.8	OCl	Per	10.5			-0.000149
NGC 891	NGC 891	2.375947	42.349139	10.01	G	And	13.03	3.03	22	0.001763
NGC 908	NGC 908	2.384603	-21.233861	10.31	G	Cet	6.14	2.82	77	0.004996
NGC 925	NGC 925	2.454689	33.579167	10.12	G	Tri	10.72	5.75	107	0.001846
NGC 936	NGC 936	2.460406	-1.156278	10.23	G	Cet	4.44	3.18	133	0.004096
NGC 956	NGC 956	2.541917	44.593472	8.9	OCl	And	4.5
NGC 957	NGC 957	2.555286	57.569694	7.6	OCl	Per	10.2			-0.000143
NGC 986	NGC 986	2.559542	-39.045056	10.91	G	For	3.77	3.03	52	0.006606
NGC 988	NGC 988	2.591042	-9.356194	11.21	G	Cet	4.33	1.73	119	0.005075
NGC 1023	NGC 1023	2.673336	39.063278	9.47	G	Per	7.4	3.06	87	0.002127
NGC 1027	NGC 1027	2.709739	61.594361	6.7	OCl	Cas	7.8			0.00005
M 34	M 34 · NGC 1039	2.702056	42.746139	5.2	OCl	Per	22.5			-0.000033	M 34
Fornax Dwarf Cluster 3	NGC 1049	2.663372	-34.25825	13.59	GCl	For	1.2	1.2		0.000133
NGC 1055	NGC 1055	2.695897	0.443167	10.6	G	Cet	6.92	3.53	104	0.003319
M 77	M 77 · NGC 1068	2.711308	-0.013278	9.29	G	Cet	6.11	5.61	12	0.00381	M 77
NGC 1084	NGC 1084	2.766642	-7.578472	10.6	G	Eri	3.4	2.25	36	0.004682
NGC 1097	NGC 1097	2.771958	-30.274889	9.76	G	For	10.57	6.44	138	0.004218
NGC 1187	NGC 1187	3.043775	-22.867167	10.92	G	Eri	4.14	3.02	129	0.004668
NGC 1201	NGC 1201	3.068883	-26.069639	10.81	G	For	3.41	1.96	8	0.005671
NGC 1232	NGC 1232	3.162642	-20.579306	10.11	G	Eri	6.79	5.77	101	0.005611
NGC 1245	NGC 1245	3.24485	47.238694	8.4	OCl	Per	11.4			-0.000098
NGC 1261	NGC 1261	3.204261	-55.216806	8.63	GCl	Hor	5.1			0.000238
NGC 1269	NGC 1269	3.288497	-41.108056	8.7	G	Eri	11.17	9.93	156	0.002796
Perseus A	NGC 1275	3.330044	41.511694	12.24	G	Per	2.16	1.45	110	0.01756
NGC 1300	NGC 1300	3.328078	-19.411361	10.52	G	Eri	5.96	3.06	101	0.005252
NGC 1302	NGC 1302	3.330883	-26.060444	10.63	G	For	4.27	3.9	170	0.005699
NGC 1313	NGC 1313	3.304458	-66.49825	9.49	G	Ret	11.07	9.14	27	0.001568
Fornax A	NGC 1316	3.378256	-37.208222	8.48	G	For	13.46	7.71	50	0.005911
Fornax B	NGC 1317	3.378969	-37.103694	10.88	G	For	3.1	2.58	69	0.006438
NGC 1326	NGC 1326	3.399	-36.464667	10.45	G	For	4.28	2.93	67	0.004584
NGC 1332	NGC 1332	3.438125	-21.335222	10.36	G	Eri	5.31	3.84	121	0.00518
NGC 1333	NGC 1333	3.482	31.37	10.9	Cl+N	Per	19.5			0.000053
NGC 1340	NGC 1340	3.472131	-31.068167	10.37	G	For	5.12	3.12	167	0.003949
NGC 1342	NGC 1342	3.527811	37.379389	6.7	OCl	Per	6.3			-0.000036
NGC 1350	NGC 1350	3.518922	-33.628639	10.31	G	For	5.18	2.6	11	0.006368
NGC 1360	NGC 1360	3.554069	-25.871722	9.4	PN	For	6.42			0.00036
NGC 1365	NGC 1365	3.560103	-36.140389	10.1	G	For	12.02	6.14	20	0.005476
NGC 1367	NGC 1367	3.583706	-24.933222	10.66	G	For	4.88	3.26	134
NGC 1380	NGC 1380	3.607664	-34.976222	9.94	G	For	4.58	2.22	6
NGC 1387	NGC 1387	3.61585	-35.506639	10.75	G	For	3.01	2.89	110	0.004229
NGC 1395	NGC 1395	3.641597	-23.027528	9.65	G	Eri	4.71	3.97	105	0.005634
NGC 1398	NGC 1398	3.647814	-26.337833	9.55	G	For	6.95	4.91	100	0.004639
NGC 1399	NGC 1399	3.641397	-35.450667	9.4	G	For	8.51	7.69	150	0.004755
NGC 1404	NGC 1404	3.647756	-35.594389	9.93	G	Eri	5.01	4.38	163	0.006498
NGC 1407	NGC 1407	3.669961	-18.580111	9.65	G	Eri	5.73	5.27	60	0.005952
